customer_rank,customer_id,customer_name,total_va_gbp_equiv,cume_pct
1,CID_002,CUST_011,1452429.3003,11.403905309639072
2,CID_001,CUST_024,1414397.75003042,22.50920180027161
3,CID_003,CUST_041,662776.45953252,27.71306265904493
4,CID_004,CUST_008,497848.50169999996,31.62197386784512
5,CID_005,CUST_017,380507.5965,34.609570303133275
6,CID_006,CUST_030,361497.81904920004,37.447909420380924
7,CID_007,CUST_023,315072.20357088,39.921732810255726
8,CID_018,CUST_031,298893.4458,42.26852693845935
9,CID_010,CUST_018,276438.22117589996,44.439011448517
10,CID_011,CUST_014,274669.24330000003,46.59560663798092
11,CID_009,CUST_012,274374.834,48.74989024107103
12,CID_019,CUST_026,258719.5538,50.781254723099764
13,CID_008,CUST_005,257995.91091585997,52.8069374449719
14,CID_017,CUST_001,240247.93325463997,54.693270005948534
15,CID_027,CUST_010,237297.3003,56.55643535402795
16,CID_021,CUST_020,234232.8993,58.39554022713103
17,CID_025,CUST_003,232543.6195,60.221381537679484
18,CID_012,CUST_007,222562.8664,61.96885788874401
19,CID_015,CUST_021,218342.01320132,63.683193755659886
20,CID_023,CUST_016,217828.35587056002,65.39349658664047
21,CID_024,CUST_006,215094.67322469997,67.08233561347335
22,CID_020,CUST_022,212063.8423,68.74737774439699
23,CID_022,CUST_002,199706.29963194,70.31539329618367
24,CID_034,CUST_049,196445.8868,71.85780936495381
25,CID_014,CUST_034,186815.91868378,73.32461470037566
26,CID_030,CUST_013,179190.0417,74.73154464013588
27,CID_026,CUST_035,178143.57701458,76.13025814954737
28,CID_016,CUST_040,176212.8192,77.51381210572704
29,CID_043,CUST_009,166693.5495,78.82262448911327
30,CID_013,CUST_050,163299.3854,80.10478722697542
31,CID_039,CUST_027,159892.7886,81.36020270262844
32,CID_029,CUST_032,158493.6976,82.6046330643897
33,CID_040,CUST_029,152546.34588732,83.80236715270031
34,CID_037,CUST_038,147916.5455,84.96374986390181
35,CID_036,CUST_037,140950.14297051998,86.07043511425023
36,CID_028,CUST_033,139417.07460528,87.16508331297297
37,CID_032,CUST_025,134257.1457,88.2192177733484
38,CID_033,CUST_044,133580.7905,89.26804175791969
39,CID_031,CUST_042,132993.22282186,90.31225239149128
40,CID_044,CUST_004,130131.55699355999,91.33399434715409
41,CID_045,CUST_047,129917.58896517998,92.35405630976355
42,CID_038,CUST_036,124578.28940000001,93.3321961859427
43,CID_042,CUST_046,122948.5392,94.29753990264248
44,CID_035,CUST_019,118981.95079999999,95.23173952268532
45,CID_050,CUST_043,113135.5007,96.12003510917268
46,CID_041,CUST_039,108656.1194,96.97316035023914
47,CID_047,CUST_048,105718.30840000001,97.8032190513682
48,CID_046,CUST_015,100081.55477399999,98.58902017342517
49,CID_048,CUST_028,95470.2782,99.33861536009128
50,CID_049,CUST_045,84235.567,99.99999999999997
