product_type_clean,n_jobs,total_va,mean_va_pct
Educational Books,1656,5000247.818657,0.5203316277633827
Brochures / Price List,1273,3962191.16868,0.5198731124344199
Magazines,948,2399909.97894,0.4621689268215976
Leaflets to A4 / Price Lists,864,733811.841423,0.43433814518249597
Catalogues,86,594020.346943,0.4456902182757176
Books (NOT adult colouring),112,454070.910763,0.4742245944629994
Diaries,24,112956.301664,0.47686208251243317
Calendar any kind/Wallplan,57,107162.437452,0.4933204486439255
BPUK Hardback Book,17,91670.5438,0.4119286219743007
Labels / Stickers / Tags,133,49446.938844,0.5031355426720105
BPUK Softback Book,20,36814.2209,0.5211720582705585
Books/Educational Books,79,33900.9805,0.4704914721768629
Prospectus,10,33718.0038,0.5113129033773771
Paper Packaging/Cartons,36,31186.7403,0.33895194130783896
Postage/Mailing,39,23254.439828,0.3190124020064097
Writing/Memo/Note pads,9,22694.8438,0.3226079486070072
Posters,69,20393.092899,0.6134396700895733
Flat Sheets/ Box Shapes,15,18647.436131,0.40981675257432876
Stationery / Invitations,61,12827.895061,0.5675905519770761
Tickets,20,11997.8858,0.47182167034666544
Delivery only,18,11055.629847,0.4808246401593763
Maps,9,10757.901252,0.5376526820325309
Business Cards,189,10545.072199999999,0.24792349893925264
Roll-up Banners,60,9972.6612,0.519245534275632
Covers (unfinished part),15,8922.842226,0.44556071209394155
Kitting own books/ffilment,16,8100.758287000001,0.30495188620986696
Folders WITH capacity only,9,6095.907318,0.3976569638857081
Point of Sale Products,21,5935.96,0.32721147455032407
Stationery/Notepads,37,5728.120685,0.2397748259975071
Envelopes,29,4798.64,0.2585876597524614
Tickets/Postcards/Tags,16,4635.85,0.5717624841356206
Banners Printed,13,3925.4343999999996,0.5498189548358492
Signage (large),26,3637.6644,0.7230840817191708
Signage,19,3555.61,0.2981293254295135
Tent Cards/Swatch Cards,8,3076.344297,0.4581920321428313
Gift Card / Vouchers,1,2974.3483,0.255155554602385
Folders NO capacity or flap,15,2803.416288,0.44400620732908497
Plain Paper,7,2279.98,0.559957821476411
Fulfilment - other,2,2265.28,0.6010862619808305
Postcards/ Tags,7,2237.278799999999,-0.5392912910886343
Certificates,3,2061.3312,0.21802165229624634
Christmas Card/Postcards,13,1951.91,0.4209280568392362
Folders WITH capacity,6,1766.0,0.21056119645075533
Banners,10,1529.0,0.2861699244685658
Books,5,1232.3914,0.17529629983742062
Postage,1,1163.52,0.0821404871161313
Certficates,14,1079.92,0.5403845532825546
Pack and Distribution,1,1008.4,1.0
Miscellaneous-ask advice,2,836.3304,0.470377052868391
Menu,7,727.5600000000001,0.49749315663432286
Ringbinders sealed edge,4,576.77,0.5942327729749948
Miscellaneous -ask advice,3,549.85,0.23212891183981332
Tent Cards,3,527.88,0.2561452406683357
Menu (Cafe/Restaurant),5,516.9076,0.6991931270690095
Bookmarks,2,464.416687,0.2875437139851895
Menu (Takeaway/throwaway),3,403.59000000000003,0.668547951756384
Gift Vouchers/Holders,1,98.78,0.449
Diaries / Yearbooks,1,80.39,0.193710843373494
Application Forms,1,28.34,0.236166666666667
