title,customer_id,customer_name,n_orders,mean_gap,sd_gap,last_order,predicted_next_order
JOB_00017,CID_012,CUST_007,5,154.0,39.403891516786345,2026-05-20,2026-10-21
JOB_00019,CID_004,CUST_008,9,104.75,45.22878350279672,2026-05-20,2026-09-02
JOB_00029,CID_004,CUST_008,7,190.16666666666666,51.905362600281165,2026-05-18,2026-11-24
JOB_00047,CID_022,CUST_002,4,366.3333333333333,13.613718571108095,2026-05-14,2027-05-15
JOB_00059,CID_030,CUST_013,4,378.0,12.12435565298214,2026-05-12,2027-05-25
JOB_00064,CID_020,CUST_022,3,206.0,47.50789408087881,2026-05-12,2026-12-04
JOB_00068,CID_022,CUST_002,22,57.523809523809526,31.6047766130676,2026-05-11,2026-07-08
JOB_00103,CID_040,CUST_029,3,418.0,441.23463146040564,2026-05-05,2027-06-27
JOB_00109,CID_020,CUST_022,5,252.5,65.46500337330372,2026-05-01,2027-01-08
JOB_00112,CID_018,CUST_031,4,217.66666666666666,102.54917519577295,2026-04-30,2026-12-04
JOB_00117,CID_018,CUST_031,3,182.5,116.67261889578035,2026-04-30,2026-10-29
JOB_00135,CID_025,CUST_003,7,196.0,127.08579779031172,2026-04-24,2026-11-06
JOB_00149,CID_012,CUST_007,9,129.375,104.98290677193937,2026-04-21,2026-08-28
JOB_00152,CID_022,CUST_002,18,68.23529411764706,93.94049274125929,2026-04-21,2026-06-28
JOB_00157,CID_022,CUST_002,22,56.904761904761905,40.02487321891821,2026-04-20,2026-06-16
JOB_00167,CID_022,CUST_002,10,131.55555555555554,103.91837074251009,2026-04-16,2026-08-26
JOB_00169,CID_011,CUST_014,3,206.5,157.6848122046001,2026-04-16,2026-11-08
JOB_00185,CID_010,CUST_018,4,206.66666666666666,27.5922694487665,2026-04-13,2026-11-06
JOB_00215,CID_030,CUST_013,4,371.3333333333333,7.637626158259725,2026-04-01,2027-04-07
JOB_00221,CID_037,CUST_038,4,126.0,41.569219381653056,2026-03-31,2026-08-04
JOB_00229,CID_025,CUST_003,3,117.0,100.40916292848975,2026-03-27,2026-07-22
JOB_00233,CID_009,CUST_012,3,70.5,82.73149339882606,2026-03-27,2026-06-05
JOB_00236,CID_025,CUST_003,3,354.0,142.8355697996826,2026-03-27,2027-03-16
JOB_00237,CID_002,CUST_011,4,89.0,19.924858845171276,2026-03-26,2026-06-23
JOB_00261,CID_032,CUST_025,7,85.33333333333333,26.158491291866714,2026-03-19,2026-06-12
JOB_00265,CID_008,CUST_005,3,536.0,272.94321753800733,2026-01-16,2027-07-06
JOB_00271,CID_020,CUST_022,10,128.33333333333334,65.62011886609166,2026-03-18,2026-07-24
JOB_00300,CID_012,CUST_007,3,357.0,12.727922061357855,2026-03-11,2027-03-03
JOB_00301,CID_029,CUST_032,4,126.66666666666667,51.22824741617981,2026-03-11,2026-07-16
JOB_00306,CID_029,CUST_032,5,277.75,102.54551834835755,2026-03-10,2026-12-13
JOB_00325,CID_025,CUST_003,4,49.0,16.09347693943108,2026-03-06,2026-04-24
JOB_00333,CID_022,CUST_002,8,110.14285714285714,82.41243549252457,2026-03-04,2026-06-22
JOB_00353,CID_022,CUST_002,5,254.0,122.38736318209763,2026-03-03,2026-11-12
JOB_00362,CID_030,CUST_013,4,373.0,15.620499351813308,2026-03-02,2027-03-10
JOB_00365,CID_020,CUST_022,7,184.83333333333334,124.92144198121741,2026-03-02,2026-09-03
JOB_00375,CID_022,CUST_002,5,276.5,177.70668717486876,2026-02-26,2026-11-29
JOB_00383,CID_022,CUST_002,5,66.25,48.43810483493342,2026-02-25,2026-05-02
JOB_00397,CID_011,CUST_014,3,422.0,387.49451609022805,2026-02-20,2027-04-18
JOB_00409,CID_050,CUST_043,3,371.5,47.37615433949868,2026-02-18,2027-02-25
JOB_00412,CID_020,CUST_022,6,191.6,132.77913992792693,2026-02-17,2026-08-28
JOB_00413,CID_022,CUST_002,36,32.17142857142857,20.20990688089517,2026-02-17,2026-03-21
JOB_00466,CID_004,CUST_008,3,430.5,239.7091988222396,2026-02-10,2027-04-16
JOB_00482,CID_003,CUST_041,5,232.25,230.58819715385837,2026-02-09,2026-09-29
JOB_00520,CID_001,CUST_024,3,527.5,259.50818869546293,2026-02-06,2027-07-19
JOB_00560,CID_030,CUST_013,3,363.5,10.606601717798213,2026-02-04,2027-02-03
JOB_00563,CID_012,CUST_007,3,487.0,410.1219330881976,2026-02-03,2027-06-05
JOB_00586,CID_001,CUST_024,3,523.0,79.19595949289332,2026-01-28,2027-07-05
JOB_00589,CID_001,CUST_024,4,348.6666666666667,219.73241302396272,2026-01-28,2027-01-12
JOB_00599,CID_001,CUST_024,4,349.0,14.422205101855956,2026-01-28,2027-01-12
JOB_00600,CID_001,CUST_024,3,523.5,263.75082938258225,2026-01-28,2027-07-06
JOB_00601,CID_001,CUST_024,3,455.5,130.8147545195113,2026-01-28,2027-04-29
JOB_00602,CID_001,CUST_024,3,523.5,263.75082938258225,2026-01-28,2027-07-06
JOB_00608,CID_001,CUST_024,3,524.0,264.45793616376875,2026-01-28,2027-07-06
JOB_00609,CID_001,CUST_024,3,524.0,264.45793616376875,2026-01-28,2027-07-06
JOB_00610,CID_001,CUST_024,3,524.0,264.45793616376875,2026-01-28,2027-07-06
JOB_00611,CID_001,CUST_024,3,524.0,264.45793616376875,2026-01-28,2027-07-06
JOB_00648,CID_022,CUST_002,3,346.5,16.263455967290593,2026-01-28,2027-01-09
JOB_00649,CID_012,CUST_007,3,230.5,129.4005409571382,2026-01-27,2026-09-14
JOB_00664,CID_001,CUST_024,4,348.3333333333333,140.02975874196645,2026-01-26,2027-01-09
JOB_00683,CID_001,CUST_024,3,520.0,275.77164466275354,2026-01-23,2027-06-27
JOB_00684,CID_001,CUST_024,3,520.0,275.77164466275354,2026-01-23,2027-06-27
JOB_00692,CID_012,CUST_007,3,428.0,128.69343417595164,2026-01-21,2027-03-25
JOB_00702,CID_017,CUST_001,5,123.25,62.972877759662005,2026-01-19,2026-05-22
JOB_00704,CID_025,CUST_003,3,175.0,12.727922061357855,2026-01-16,2026-07-10
JOB_00707,CID_022,CUST_002,3,543.0,192.33304448274092,2026-01-15,2027-07-12
JOB_00723,CID_046,CUST_015,3,148.0,1.4142135623730951,2026-01-09,2026-06-06
JOB_00732,CID_012,CUST_007,6,101.0,59.28743543112655,2026-01-08,2026-04-19
JOB_00754,CID_030,CUST_013,3,356.0,0.0,2026-01-05,2026-12-27
JOB_00765,CID_001,CUST_024,3,262.0,72.12489168102785,2026-01-04,2026-09-23
JOB_00766,CID_001,CUST_024,4,341.3333333333333,133.00125312692862,2026-01-04,2026-12-11
JOB_00767,CID_001,CUST_024,3,512.0,240.41630560342617,2026-01-04,2027-05-31
JOB_00768,CID_001,CUST_024,3,511.5,280.72139213105936,2026-01-04,2027-05-31
JOB_00769,CID_001,CUST_024,4,341.0,135.04443713089407,2026-01-04,2026-12-11
JOB_00770,CID_001,CUST_024,3,511.5,235.46655813512032,2026-01-04,2027-05-31
JOB_00772,CID_001,CUST_024,4,341.0,26.229754097208,2026-01-04,2026-12-11
JOB_00773,CID_001,CUST_024,5,255.5,103.24566173291093,2026-01-04,2026-09-17
JOB_00774,CID_001,CUST_024,5,255.5,114.69524837585905,2026-01-04,2026-09-17
JOB_00775,CID_001,CUST_024,4,340.6666666666667,26.15976554431124,2026-01-04,2026-12-11
JOB_00776,CID_001,CUST_024,4,340.6666666666667,135.03086067019396,2026-01-04,2026-12-11
JOB_00777,CID_001,CUST_024,4,340.6666666666667,26.15976554431124,2026-01-04,2026-12-11
JOB_00778,CID_001,CUST_024,3,511.0,280.0142853498728,2026-01-04,2027-05-30
JOB_00779,CID_001,CUST_024,4,340.6666666666667,26.15976554431124,2026-01-04,2026-12-11
JOB_00780,CID_001,CUST_024,3,511.0,280.0142853498728,2026-01-04,2027-05-30
JOB_00781,CID_001,CUST_024,3,511.0,236.17366491630688,2026-01-04,2027-05-30
JOB_00809,CID_022,CUST_002,5,202.75,192.96696608487164,2025-12-16,2026-07-07
JOB_00819,CID_029,CUST_032,5,214.5,75.1021526544568,2025-12-12,2026-07-14
JOB_00850,CID_030,CUST_013,4,354.6666666666667,53.407240457950394,2025-12-03,2026-11-23
JOB_00913,CID_006,CUST_030,5,230.5,172.03972409495043,2025-11-19,2026-07-07
JOB_00924,CID_025,CUST_003,4,174.0,224.50167037240502,2025-11-18,2026-05-11
JOB_00930,CID_006,CUST_030,3,175.0,48.08326112068523,2025-11-18,2026-05-12
JOB_00990,CID_029,CUST_032,3,385.5,36.062445840513924,2025-10-30,2026-11-20
JOB_01026,CID_006,CUST_030,3,328.5,297.6919548795365,2025-10-22,2026-09-15
JOB_01029,CID_002,CUST_011,3,189.5,267.9934700697015,2025-10-21,2026-04-29
JOB_01060,CID_004,CUST_008,5,245.25,81.92425363305627,2025-10-16,2026-06-18
JOB_01081,CID_031,CUST_042,3,65.5,48.79036790187178,2025-10-15,2025-12-20
JOB_01083,CID_022,CUST_002,4,249.66666666666666,173.07898004475683,2025-10-15,2026-06-22
JOB_01098,CID_006,CUST_030,3,321.5,109.60155108391487,2025-10-07,2026-08-25
JOB_01099,CID_006,CUST_030,3,122.0,164.04877323527901,2025-10-07,2026-02-06
JOB_01115,CID_020,CUST_022,4,185.33333333333334,35.23256069793016,2025-10-02,2026-04-05
JOB_01132,CID_018,CUST_031,3,45.5,9.192388155425117,2025-09-29,2025-11-14
JOB_01146,CID_022,CUST_002,3,364.5,13.435028842544403,2025-09-25,2026-09-24
JOB_01156,CID_012,CUST_007,3,353.5,13.435028842544403,2025-08-11,2026-07-31
